Wall time,Step,Value
1686291379.7642913,0,0.2589641511440277
1686291400.7092152,1,0.2589641511440277
1686291421.0246184,2,0.262948215007782
1686291441.2482786,3,0.37051793932914734
1686291461.630051,4,0.23505976796150208
1686291481.8049116,5,0.25498008728027344
1686291501.9202356,6,0.3187251091003418
1686291522.0442786,7,0.3904382586479187
1686291542.0512671,8,0.4023904502391815
1686291562.3754554,9,0.36653387546539307
1686291584.315899,10,0.3784860670566559
1686291604.906535,11,0.3745020031929016
1686291624.7554119,12,0.4223107695579529
1686291644.6208801,13,0.4661354720592499
1686291664.245278,14,0.4741035997867584
1686291684.3518183,15,0.4661354720592499
1686291704.751158,16,0.5179283022880554
1686291725.382786,17,0.4900398552417755
1686291745.564478,18,0.4661354720592499
1686291765.7149394,19,0.5019920468330383
1686291786.0547428,20,0.5139442086219788
1686291806.0539231,21,0.5657370686531067
1686291826.528415,22,0.5856573581695557
1686291846.8272276,23,0.5976095795631409
1686291866.608761,24,0.5976095795631409
1686291887.1076524,25,0.613545835018158
1686291906.957505,26,0.6175298690795898
1686291927.347085,27,0.6175298690795898
1686291949.3880603,28,0.6215139627456665
1686291969.5873215,29,0.6175298690795898
1686291990.077583,30,0.6175298690795898
1686292010.5345075,31,0.6175298690795898
1686292030.8586946,32,0.6095617413520813
1686292051.107731,33,0.6095617413520813
1686292071.3987355,34,0.6095617413520813
1686292091.6223967,35,0.6175298690795898
1686292111.9212077,36,0.6175298690795898
1686292132.3870013,37,0.6175298690795898
1686292153.6354592,38,0.6175298690795898
1686292174.6259003,39,0.6175298690795898
